symbol,rootSymbol,state,typ,listing,front,inverseLeg,sellLeg,buyLeg,positionCurrency,underlying,quoteCurrency,underlyingSymbol,reference,referenceSymbol,maxOrderQty,maxPrice,lotSize,tickSize,multiplier,settlCurrency,underlyingToPositionMultiplier,quoteToSettleMultiplier,isQuanto,isInverse,initMargin,maintMargin,riskLimit,riskStep,capped,taxed,deleverage,makerFee,takerFee,settlementFee,insuranceFee,fundingBaseSymbol,fundingQuoteSymbol,fundingPremiumSymbol,fundingTimestamp,fundingInterval,fundingRate,indicativeFundingRate,openingTimestamp,closingTimestamp,sessionInterval,prevClosePrice,prevTotalVolume,totalVolume,volume,volume24h,prevTotalTurnover,totalTurnover,turnover,turnover24h,homeNotional24h,foreignNotional24h,prevPrice24h,vwap,highPrice,lowPrice,lastPrice,lastPriceProtected,lastTickDirection,lastChangePcnt,bidPrice,midPrice,askPrice,impactBidPrice,impactMidPrice,impactAskPrice,hasLiquidity,openInterest,openValue,fairMethod,fairBasisRate,fairBasis,fairPrice,markMethod,markPrice,indicativeTaxRate,indicativeSettlePrice,timestamp
LTCU20,LTC,Open,FFCCSX,2020-06-05T08:00:00.000Z,2020-08-28T12:00:00.000Z,,,,LTC,LTC,XBT,LTCXBT=,BMEX,.BLTCXBT30M,100000000,1,1,0.000005,100000000,XBt,1,100000000,false,false,0.03,0.015,5000000000,5000000000,false,true,true,-0.0005,0.0025,0,0,,,,,,,,2020-09-11T10:00:00.000Z,2020-09-11T11:00:00.000Z,2000-01-01T01:00:00.000Z,0.004755,721566,721566,0,6491,364010539500,364010539500,0,3068253000,6491,30.68253,0.00476,0.00472694,0.004775,0.004685,0.004745,0.004745,MinusTick,-0.0032,0.004745,0.00475,0.004755,0.004745,0.00475,0.004755,true,14524,6897447600,ImpactMidPrice,0.21,0.000038,0.004749,FairPrice,0.004749,,0.004711,2020-09-11T10:04:35.000Z
XRPU20,XRP,Open,FFCCSX,2020-06-05T08:00:00.000Z,2020-08-28T12:00:00.000Z,,,,XRP,XRP,XBT,XRPXBT=,BMEX,.BXRPXBT30M,100000000,1,1,1e-8,100000000,XBt,1,100000000,false,false,0.05,0.025,5000000000,5000000000,false,true,true,-0.0005,0.0025,0,0,,,,,,,,2020-09-11T10:00:00.000Z,2020-09-11T11:00:00.000Z,2000-01-01T01:00:00.000Z,0.00002393,63533600,63533600,0,1477003,152658614789,152658614789,0,3498600403,1477003,34.986004030000004,0.00002388,0.00002369,0.00002396,0.0000234,0.00002364,0.00002364,ZeroPlusTick,-0.0101,0.00002363,0.000023635,0.00002364,0.00002361,0.00002363,0.00002365,true,2447030,5782331890,ImpactMidPrice,0.2,1.8e-7,0.00002363,FairPrice,0.00002363,,0.00002345,2020-09-11T10:04:25.000Z
BCHU20,BCH,Open,FFCCSX,2020-06-05T08:00:00.000Z,2020-08-28T12:00:00.000Z,,,,BCH,BCH,XBT,BCHXBT=,BMEX,.BBCHXBT30M,100000000,1,1,0.00001,100000000,XBt,1,100000000,false,false,0.05,0.025,5000000000,5000000000,false,true,true,-0.0005,0.0025,0,0,,,,,,,,2020-09-11T10:00:00.000Z,2020-09-11T11:00:00.000Z,2000-01-01T01:00:00.000Z,0.02216,304514,304514,0,3084,771964874000,771964874000,0,6799754000,3084,67.99754,0.02217,0.02204849,0.0223,0.02182,0.02199,0.02199,PlusTick,-0.0081,0.02194,0.021955,0.02197,0.02194,0.02196,0.02197783,true,2714,5959944000,ImpactMidPrice,0.2,0.00017,0.02196,FairPrice,0.02196,,0.02179,2020-09-11T10:04:05.000Z
ADAU20,ADA,Open,FFCCSX,2020-06-05T08:00:00.000Z,2020-08-28T12:00:00.000Z,,,,ADA,ADA,XBT,ADAXBT=,BMEX,.BADAXBT30M,100000000,1,1,1e-8,100000000,XBt,1,100000000,false,false,0.05,0.025,5000000000,5000000000,false,true,true,-0.0005,0.0025,0,0,,,,,,,,2020-09-11T10:00:00.000Z,2020-09-11T11:00:00.000Z,2000-01-01T01:00:00.000Z,0.00000943,859976127,859976137,10,10015150,1003853970658,1003853979960,9302,9435249499,10015150,94.35249499,0.0000094,0.00000943,0.00000968,0.00000929,0.00000931,0.00000931,PlusTick,-0.0096,0.0000093,0.000009305,0.00000931,0.0000093,0.00000931,0.00000932,true,3629234,3378816854,ImpactMidPrice,0.22,8e-8,0.00000931,FairPrice,0.00000931,,0.00000923,2020-09-11T10:04:30.000Z
EOSU20,EOS,Open,FFCCSX,2020-06-05T08:00:00.000Z,2020-08-28T12:00:00.000Z,,,,EOS,EOS,XBT,EOSXBT=,BMEX,.BEOSXBT30M,100000000,1,1,1e-7,100000000,XBt,1,100000000,false,false,0.05,0.025,5000000000,5000000000,false,true,true,-0.0005,0.0025,0,0,,,,,,,,2020-09-11T10:00:00.000Z,2020-09-11T11:00:00.000Z,2000-01-01T01:00:00.000Z,0.0002706,6857850,6857950,100,124772,193882829600,193885569930,2740330,3376613150,124772,33.76613150000001,0.0002716,0.00027063,0.0002753,0.0002685,0.0002743,0.0002743,ZeroPlusTick,0.0099,0.0002736,0.0002738,0.000274,0.00027341,0.0002737,0.000274,true,184906,5059028160,ImpactMidPrice,0.21,0.0000022,0.0002736,FairPrice,0.0002736,,0.0002714,2020-09-11T10:04:35.000Z
TRXU20,TRX,Open,FFCCSX,2020-06-05T08:00:00.000Z,2020-08-28T12:00:00.000Z,,,,TRX,TRX,XBT,TRXXBT=,BMEX,.BTRXXBT30M,100000000,1,1,1e-8,100000000,XBt,1,100000000,false,false,0.05,0.025,5000000000,5000000000,false,true,true,-0.0005,0.0025,0,0,,,,,,,,2020-09-11T10:00:00.000Z,2020-09-11T11:00:00.000Z,2000-01-01T01:00:00.000Z,0.00000329,230352161,230352166,5,1215629,49387220722,49387222322,1600,393096158,1215629,3.930961580000001,0.00000329,0.00000324,0.00000337,0.0000031,0.0000032,0.0000032,ZeroPlusTick,-0.0274,0.00000319,0.000003195,0.0000032,0.00000319,0.000003195,0.0000032,true,18969929,6070377280,ImpactMidPrice,0.2,2e-8,0.0000032,FairPrice,0.0000032,,0.00000318,2020-09-11T10:04:35.000Z
ETHUSDU20,ETH,Open,FFCCSX,2020-06-05T08:00:00.000Z,2020-08-28T12:00:00.000Z,,,,,ETH,USD,ETH=,BMEX,.BETH30M,10000000,1000000,1,0.05,100,XBt,,9705,true,false,0.02,0.007,5000000000,5000000000,false,true,true,-0.00025,0.00075,0,0,,,,,,,,2020-09-11T10:00:00.000Z,2020-09-11T11:00:00.000Z,2000-01-01T01:00:00.000Z,369.87,13828483,13828486,3,250819,477485828400,477485939325,110925,9258281050,2589.2049657890893,955758.9662453594,368.7,369.13,380.3,359.25,369,369,MinusTick,0.0008,369,369.3,369.6,369,369.3,369.61,true,215654,7964749182,ImpactMidPrice,0.22,3.11,369.33,FairPrice,369.33,,366.22,2020-09-11T10:04:45.000Z
LTCUSD,LTC,Open,FFWCSX,2020-07-21T04:00:00.000Z,2020-07-21T04:00:00.000Z,,,,,LTC,USD,LTC=,BMEX,.BLTC,100000000,1000000,1,0.01,200,XBt,,9705,true,false,0.03,0.015,5000000000,5000000000,false,true,true,-0.00025,0.00075,0,0,.LTCBON8H,.USDBON8H,.LTCUSDPI8H,2020-09-11T12:00:00.000Z,2000-01-01T08:00:00.000Z,0.0001,0.0001,2020-09-11T10:00:00.000Z,2020-09-11T11:00:00.000Z,2000-01-01T01:00:00.000Z,48.56,11053611,11053618,7,135689,117509109322,117509177410,68088,1321408408,2810.407703702725,136852.53207604613,48.51,48.695,49.32,47.53,48.62,48.62,MinusTick,0.0023,48.54,48.58,48.62,48.54,48.58,48.62,true,76465,742092825,FundingRate,0.1095,0,48.525,FairPrice,48.525,,48.525,2020-09-11T10:04:45.000Z
XBTH21,XBT,Open,FFCCSX,2020-09-04T04:00:00.000Z,2021-01-29T12:00:00.000Z,,,,USD,XBT,USD,XBT=,BMEX,.BXBT30M,10000000,1000000,1,0.5,-100000000,XBt,,,false,true,0.01,0.0035,5000000000,5000000000,false,true,true,-0.00025,0.00075,0.0005,0,,,,,,,,2020-09-11T10:00:00.000Z,2020-09-11T11:00:00.000Z,2000-01-01T01:00:00.000Z,11412.67,3201288,3201289,1,115991,27415598800,27415607553,8753,1018794471,10.187944710000002,115991,11399,11385.6313,11608,11308,11425,11425,MinusTick,0.0023,11403.5,11412.5,11421.5,11403.5,11413.5,11423.3493,true,1635270,14334776820,ImpactMidPrice,0.2,1106.76,11407.78,FairPrice,11407.78,,10301.02,2020-09-11T10:04:45.000Z
ETHZ20,ETH,Open,FFCCSX,2020-09-04T04:00:00.000Z,2020-11-27T12:00:00.000Z,,,,ETH,ETH,XBT,ETHXBT=,BMEX,.BETHXBT30M,100000000,1,1,0.00001,100000000,XBt,1,100000000,false,false,0.02,0.007,5000000000,5000000000,false,true,true,-0.0005,0.0025,0,0,,,,,,,,2020-09-11T10:00:00.000Z,2020-09-11T11:00:00.000Z,2000-01-01T01:00:00.000Z,0.03767,7802,7802,0,1173,28694117000,28694117000,0,4402285000,1173,44.02285,0.03749,0.03753014,0.03818,0.03698,0.03761,0.03761,ZeroPlusTick,0.0032,0.0376,0.03763,0.03766,0.0376,0.03763,0.03766,true,100,376100000,ImpactMidPrice,0.2,0.00205,0.03761,FairPrice,0.03761,,0.03556,2020-09-11T10:04:05.000Z
